Client_Num,Customer_Age,Gender,Dependent_Count,Education_Level,Marital_Status,state_cd,Zipcode,Car_Owner,House_Owner,Personal_loan,contact,Customer_Job,Income,Cust_Satisfaction_Score
708082083,24,F,1,Uneducated,Single,FL,91750,no,yes,no,unknown,Businessman,202326.00,3
708083283,62,F,0,Unknown,Married,NJ,91750,no,no,no,cellular,Selfemployeed,5225.00,2
708084558,32,F,1,Unknown,Married,NJ,91750,yes,no,no,unknown,Selfemployeed,14235.00,2
708085458,38,M,2,Uneducated,Single,NY,91750,no,no,no,cellular,Blue-collar,45683.00,1
708086958,48,M,4,Graduate,Single,TX,91750,yes,yes,no,cellular,Businessman,59279.00,1
708095133,33,F,1,High School,Single,NY,91750,no,yes,no,cellular,Selfemployeed,14254.00,3
708098133,34,F,3,Graduate,Single,CA,91750,yes,no,no,telephone,Selfemployeed,14975.00,2
708099183,34,F,2,Uneducated,Single,CA,91750,no,no,no,cellular,Retirees,31982.00,2
708100533,48,M,2,High School,Married,NJ,91750,yes,no,no,telephone,Businessman,86668.00,2
708103608,53,F,1,Graduate,Married,NJ,91750,yes,yes,no,cellular,Businessman,223196.00,1
708104658,31,F,0,Post-Graduate,Single,CA,91750,no,yes,no,telephone,Businessman,33625.00,2
708108333,34,F,4,Graduate,Single,NY,91750,no,no,no,cellular,Selfemployeed,14975.00,3
708112008,51,F,2,Graduate,Single,NJ,91750,yes,yes,no,cellular,Selfemployeed,14975.00,2
708113208,36,M,1,High School,Single,NJ,91750,yes,no,no,telephone,White-collar,59416.00,3
708117933,49,F,4,Graduate,Married,CA,91750,no,yes,no,unknown,Retirees,28122.00,1
708119658,53,F,2,Graduate,Single,FL,91750,yes,no,no,cellular,Govt,29021.00,1
708121908,49,F,1,Graduate,Married,TX,91750,no,no,no,unknown,Selfemployeed,20632.00,3
708123033,47,F,5,Graduate,Married,FL,91750,no,no,no,cellular,Businessman,172101.00,2
708125733,43,F,4,Graduate,Single,FL,91750,no,no,no,cellular,Retirees,57168.00,2
708128733,47,M,3,Graduate,Married,NY,91750,no,no,no,cellular,Govt,89954.00,2
708129933,34,F,3,Uneducated,Single,TX,91750,yes,yes,yes,telephone,Blue-collar,53762.00,1
708132783,37,F,5,Unknown,Married,NJ,91750,yes,yes,no,cellular,Selfemployeed,45476.00,3
708134283,63,M,0,Graduate,Single,TX,91750,yes,yes,yes,cellular,Selfemployeed,14975.00,2
708136908,55,M,2,Doctorate,Married,MO,91750,yes,yes,no,cellular,Retirees,72878.00,2
708139833,38,F,1,Unknown,Single,NY,91750,no,no,no,cellular,Businessman,25667.00,3
708145908,40,M,3,Graduate,Single,MA,91750,no,yes,no,cellular,Blue-collar,47224.00,1
708147108,55,F,0,Graduate,Single,NY,91750,yes,no,no,unknown,White-collar,25341.00,2
708148158,33,M,2,Doctorate,Single,NY,91750,no,yes,yes,cellular,Blue-collar,53644.00,3
708151008,54,F,1,Uneducated,Married,CA,91750,no,yes,no,cellular,Govt,27423.00,2
708152358,46,M,3,Graduate,Married,NY,91750,yes,yes,no,cellular,Blue-collar,110014.00,2
708153558,44,M,4,Graduate,Unknown,IA,91750,no,no,no,telephone,Businessman,109186.00,3
708154833,40,F,3,Graduate,Married,NJ,91750,yes,yes,no,cellular,Govt,25835.00,2
708155733,44,F,3,Graduate,Married,CA,91750,yes,yes,no,unknown,Selfemployeed,11345.00,2
708158133,51,F,2,Uneducated,Single,NY,91750,yes,no,no,cellular,Selfemployeed,23215.00,2
708160008,60,M,0,Graduate,Single,CA,91750,no,no,no,cellular,Businessman,103581.00,3
708161133,49,F,2,Unknown,Single,TX,91750,yes,yes,no,cellular,Selfemployeed,44555.00,3
708162558,43,F,5,Graduate,Married,TX,91750,no,yes,no,cellular,Selfemployeed,12381.00,2
708163758,54,M,1,Graduate,Single,NY,91750,no,yes,no,unknown,White-collar,123809.00,1
708170508,32,F,0,Graduate,Married,FL,91750,yes,no,no,unknown,Selfemployeed,14975.00,1
708171858,52,F,3,Graduate,Married,NY,91750,no,yes,no,unknown,Businessman,30586.00,1
708173433,43,F,1,Graduate,Single,CA,91750,no,no,no,unknown,Retirees,28367.00,3
708174708,49,F,0,Graduate,Single,NY,91750,yes,no,no,cellular,White-collar,15355.00,1
708176208,49,F,1,Uneducated,Married,CA,91750,no,no,no,cellular,Govt,53428.00,2
708177333,42,F,3,Graduate,Single,CA,91750,yes,yes,no,unknown,Selfemployeed,7865.00,2
708178608,48,F,3,Unknown,Unknown,FL,91750,no,no,no,cellular,Blue-collar,54304.00,1
708185208,47,F,2,Doctorate,Single,CA,91750,no,yes,no,cellular,Selfemployeed,20100.00,2
708186933,47,F,4,Unknown,Unknown,CA,91750,no,yes,no,cellular,Blue-collar,24295.00,1
708190158,47,F,3,Unknown,Single,NY,91750,no,yes,no,unknown,Govt,32103.00,3
708193008,53,F,2,Graduate,Married,CA,91750,no,no,yes,telephone,Selfemployeed,14975.00,2
708195633,47,F,4,High School,Married,TX,91750,yes,yes,no,unknown,Selfemployeed,27517.00,3
